market,profit,timestamp,iso_ts,buy_price,sell_price,amount,reason,bitvavo_balance,open_trade_buy_price,open_trade_highest_price,open_trade_amount,open_trade_timestamp
F-EUR,-14.529999999999998,1759482582.6558816,2025-10-03T09:09:42.655882+00:00,0.011165760249007152,0.0,1301.2996585961973,saldo_error,,,,,
F-EUR,-14.529999999999998,1759482582.6558816,2025-10-03T09:09:42.655882+00:00,0.011165760249007152,0.0,1301.2996585961973,saldo_error,,,,,
ACE-EUR,-10.203323254428046,1759574846.4367862,2025-10-04T10:47:26.436786+00:00,0.39805,0.0,25.633270328923615,saldo_error,,,,,
ACT-EUR,-10.12435338359345,1759579507.91685,2025-10-04T12:05:07.916850+00:00,0.027729,0.0,365.1178687869541,saldo_error,,,,,
SAND-EUR,-10.110773857706754,1759475307.784994,2025-10-03T07:08:27.784994+00:00,0.24053,0.0,42.035396240413895,saldo_error,,,,,
SAND-EUR,-10.110773857706754,1759475307.784994,2025-10-03T07:08:27.784994+00:00,0.24053,0.0,42.035396240413895,saldo_error,,,,,
WCT-EUR,-10.082462406320694,1759560408.4881124,2025-10-04T06:46:48.488112+00:00,0.21032,0.0,47.938676332829466,saldo_error,,,,,
WCT-EUR,-10.082462406320694,1759560408.4881124,2025-10-04T06:46:48.488112+00:00,0.21032,0.0,47.938676332829466,saldo_error,,,,,
RAY-EUR,-10.048740926100608,1759622965.0612652,2025-10-05T00:09:25.061265+00:00,2.4317,0.0,4.132393356952177,saldo_error,,2.4317,2.4456,4.132393356952177,1759609199.3664265
RAY-EUR,-10.048740926100608,1759622965.0612652,2025-10-05T00:09:25.061265+00:00,2.4317,0.0,4.132393356952177,saldo_error,,2.4317,2.4456,4.132393356952177,1759609199.3664265
SUI-EUR,-10.020231424930783,1759614776.3060899,2025-10-04T21:52:56.306090+00:00,3.0047,0.0,3.334852539331974,saldo_error,,3.0047,3.037,3.334852539331974,1759609271.2997916
SUI-EUR,-10.020231424930783,1759614776.3060899,2025-10-04T21:52:56.306090+00:00,3.0047,0.0,3.334852539331974,saldo_error,,3.0047,3.037,3.334852539331974,1759609271.2997916
FET-EUR,-10.010901768653573,1759586732.84832,2025-10-04T14:05:32.848320+00:00,0.49648,0.0,20.163756382238105,saldo_error,,,,,
TRX-EUR,-10.00960290588479,1759600535.2908711,2025-10-04T17:55:35.290871+00:00,0.29024,0.0,34.48733084993381,saldo_error,,0.29024,0.29024,34.48733084993381,1759600307.2734387
TRX-EUR,-10.00960290588479,1759600535.2908711,2025-10-04T17:55:35.290871+00:00,0.29024,0.0,34.48733084993381,saldo_error,,0.29024,0.29024,34.48733084993381,1759600307.2734387
JUP-EUR,-9.83,1759588216.024849,2025-10-04T14:30:16.024849+00:00,0.38639,0.0,25.440616993193405,saldo_error,,,,,
HAEDAL-EUR,-9.83,1759592449.711137,2025-10-04T15:40:49.711137+00:00,0.11138,0.0,88.25641946489495,saldo_error,,0.11138,0.11481,88.25641946489495,1759575204.5920496
HONEY-EUR,-9.83,1759579554.7053149,2025-10-04T12:05:54.705315+00:00,0.012223,0.0,804.2215495377567,saldo_error,,,,,
JUP-EUR,-9.83,1759588216.024849,2025-10-04T14:30:16.024849+00:00,0.38639,0.0,25.440616993193405,saldo_error,,,,,
HAEDAL-EUR,-9.83,1759592449.711137,2025-10-04T15:40:49.711137+00:00,0.11138,0.0,88.25641946489495,saldo_error,,0.11138,0.11481,88.25641946489495,1759575204.5920496
RLC-EUR,-9.722841000999038,1759602371.4673142,2025-10-04T18:26:11.467314+00:00,0.90762,0.0,10.712457857913046,saldo_error,,0.90762,0.93155,10.712457857913046,1759593809.8181255
RLC-EUR,-9.722841000999038,1759602371.4673142,2025-10-04T18:26:11.467314+00:00,0.90762,0.0,10.712457857913046,saldo_error,,0.90762,0.93155,10.712457857913046,1759593809.8181255
SKL-EUR,-9.717442157149678,1759626093.6758232,2025-10-05T01:01:33.675823+00:00,0.020716,0.0,469.07907690430966,saldo_error,,0.020716,0.021,469.07907690430966,1759593760.294717
SKL-EUR,-9.717442157149678,1759626093.6758232,2025-10-05T01:01:33.675823+00:00,0.020716,0.0,469.07907690430966,saldo_error,,0.020716,0.021,469.07907690430966,1759593760.294717
KAIA-EUR,-9.672533218526922,1759592457.8338366,2025-10-04T15:40:57.833837+00:00,0.12923,0.0,74.84742875901046,saldo_error,,0.12923,0.12923,74.84742875901046,1759575235.3396316
KAIA-EUR,-9.672533218526922,1759592457.8338366,2025-10-04T15:40:57.833837+00:00,0.12923,0.0,74.84742875901046,saldo_error,,0.12923,0.12923,74.84742875901046,1759575235.3396316
PLUME-EUR,-9.67,1759576368.1419458,2025-10-04T11:12:48.141946+00:00,0.083202,0.0,116.2231677123146,saldo_error,,,,,
JASMY-EUR,-9.652534957512607,1759595406.9163911,2025-10-04T16:30:06.916391+00:00,0.010765,0.0,896.6590764061874,saldo_error,,0.010765,0.010805,896.6590764061874,1759592373.5384524
JASMY-EUR,-9.652534957512607,1759595406.9163911,2025-10-04T16:30:06.916391+00:00,0.010765,0.0,896.6590764061874,saldo_error,,0.010765,0.010805,896.6590764061874,1759592373.5384524
BIO-EUR,-9.650687742306276,1759625089.251745,2025-10-05T00:44:49.251745+00:00,0.11761,0.0,82.0566936681088,saldo_error,,0.11761,0.12044,82.0566936681088,1759597849.2077932
BIO-EUR,-9.650687742306276,1759625089.251745,2025-10-05T00:44:49.251745+00:00,0.11761,0.0,82.0566936681088,saldo_error,,0.11761,0.12044,82.0566936681088,1759597849.2077932
BABY-EUR,-9.6490736941128,1759604378.2881126,2025-10-04T18:59:38.288113+00:00,0.045571,0.0,211.73715069041276,saldo_error,,0.045571,0.045743,211.73715069041276,1759591449.9039197
BABY-EUR,-9.6490736941128,1759604378.2881126,2025-10-04T18:59:38.288113+00:00,0.045571,0.0,211.73715069041276,saldo_error,,0.045571,0.045743,211.73715069041276,1759591449.9039197
XPL-EUR,-9.63102436021341,1759472325.6982656,2025-10-03T06:18:45.698266+00:00,0.76564,0.0,12.579050676836907,saldo_error,,,,,
