market,count,sum_profit,avg_profit
CROSS-EUR,6,-54.719837641034076,-9.119972940172346
MIRA-EUR,6,-45.23210850668507,-7.538684751114179
XPL-EUR,5,-44.51413047060773,-8.902826094121547
COTI-EUR,4,-36.90571011605398,-9.226427529013495
CAKE-EUR,4,-36.3458546145118,-9.08646365362795
STX-EUR,4,-36.10988859087375,-9.027472147718438
BOME-EUR,4,-35.72880922672233,-8.932202306680583
CHILLGUY-EUR,4,-35.617522901806296,-8.904380725451574
MORPHO-EUR,4,-35.38137477875276,-8.84534369468819
F-EUR,2,-29.059999999999995,-14.529999999999998
OM-EUR,4,-27.72260676557225,-6.930651691393063
ACT-EUR,3,-26.962526663004354,-8.987508887668119
0G-EUR,3,-26.9,-8.966666666666667
CPOOL-EUR,3,-26.83,-8.943333333333333
DOGS-EUR,3,-26.669999999999998,-8.889999999999999
ARB-EUR,3,-26.61844071026701,-8.872813570089003
VET-EUR,3,-26.38,-8.793333333333333
AERO-EUR,3,-25.18,-8.393333333333333
ARPA-EUR,3,-24.717453021363298,-8.2391510071211
SAND-EUR,2,-20.221547715413507,-10.110773857706754
WCT-EUR,2,-20.164924812641388,-10.082462406320694
RAY-EUR,2,-20.097481852201216,-10.048740926100608
SUI-EUR,2,-20.040462849861566,-10.020231424930783
TRX-EUR,2,-20.01920581176958,-10.00960290588479
JUP-EUR,2,-19.66,-9.83
HAEDAL-EUR,2,-19.66,-9.83
RLC-EUR,2,-19.445682001998076,-9.722841000999038
SKL-EUR,2,-19.434884314299357,-9.717442157149678
KAIA-EUR,2,-19.345066437053845,-9.672533218526922
JASMY-EUR,2,-19.305069915025214,-9.652534957512607
BIO-EUR,2,-19.301375484612553,-9.650687742306276
BABY-EUR,2,-19.2981473882256,-9.6490736941128
DGB-EUR,2,-19.256263532586747,-9.628131766293373
AGLD-EUR,2,-19.255421553824718,-9.627710776912359
SUPER-EUR,2,-19.24666710784842,-9.62333355392421
NEAR-EUR,2,-19.235063091160818,-9.617531545580409
PENGU-EUR,2,-19.225862219506894,-9.612931109753447
SKY-EUR,2,-19.224828888345996,-9.612414444172998
SHIB-EUR,2,-18.876430385293155,-9.438215192646577
ONDO-EUR,2,-18.869880133913256,-9.434940066956628
ENA-EUR,2,-18.823235840613435,-9.411617920306718
ONG-EUR,2,-18.822370350015486,-9.411185175007743
WLD-EUR,2,-18.623526932667264,-9.311763466333632
BONK-EUR,2,-18.4,-9.2
CRO-EUR,2,-18.4,-9.2
CHZ-EUR,2,-18.4,-9.2
PHA-EUR,2,-18.333747211258068,-9.166873605629034
POWR-EUR,2,-18.228533607241374,-9.114266803620687
SPK-EUR,2,-18.13736067832003,-9.068680339160014
XRP-EUR,2,-18.13506669534226,-9.06753334767113
FLR-EUR,2,-18.130846986364837,-9.065423493182418
GOAT-EUR,2,-17.773844779177498,-8.886922389588749
TWT-EUR,2,-17.602407364152416,-8.801203682076208
MOODENG-EUR,2,-17.48231614679,-8.741158073395
PEAQ-EUR,2,-17.436183114414067,-8.718091557207034
HOOK-EUR,2,-17.43147964263921,-8.715739821319605
ETHFI-EUR,2,-17.202311214015722,-8.601155607007861
OPEN-EUR,2,-17.197543402931945,-8.598771701465973
ALPHA-EUR,2,-17.085230604523996,-8.542615302261998
RDNT-EUR,2,-17.076837960309195,-8.538418980154598
GALA-EUR,2,-17.073370819471346,-8.536685409735673
ATOM-EUR,2,-17.00090078053617,-8.500450390268085
XRP-USDC,2,-16.976501266935426,-8.488250633467713
NEIRO-EUR,2,-16.867433275844903,-8.433716637922451
PORTAL-EUR,2,-16.75384301685275,-8.376921508426374
AEVO-EUR,2,-16.750943245225926,-8.375471622612963
AIXBT-EUR,2,-16.71076665891733,-8.355383329458665
MERL-EUR,2,-16.36,-8.18
USDC-EUR,2,-16.300769281385122,-8.150384640692561
MINA-EUR,2,-16.12,-8.06
ANIME-EUR,2,-16.08,-8.04
ALGO-EUR,2,-16.08,-8.04
ME-EUR,2,-10.76,-5.38
MANTA-EUR,2,-10.76,-5.38
MAGIC-EUR,2,-10.759999999999998,-5.379999999999999
ACE-EUR,1,-10.203323254428046,-10.203323254428046
FET-EUR,1,-10.010901768653573,-10.010901768653573
HONEY-EUR,1,-9.83,-9.83
PLUME-EUR,1,-9.67,-9.67
HBAR-EUR,1,-9.588540340152013,-9.588540340152013
TON-EUR,1,-9.57,-9.57
ZKJ-EUR,1,-9.57,-9.57
VIRTUAL-EUR,1,-9.458321423579529,-9.458321423579529
1INCH-EUR,1,-9.115054883117367,-9.115054883117367
TOWNS-EUR,1,-8.792289060205652,-8.792289060205652
QTUM-EUR,1,-8.731895046557966,-8.731895046557966
PHB-EUR,1,-8.522520073825484,-8.522520073825484
BAT-EUR,1,-8.379847217171907,-8.379847217171907
DEGEN-EUR,1,-8.3,-8.3
IMX-EUR,1,-8.18,-8.18
OP-EUR,1,-8.06,-8.06
ONE-EUR,1,-5.38,-5.38
