market,amount,planned_price,profit,timestamp,iso_ts
AGLD-EUR,19.49639702100433,0.4888818,-9.627710776912359,1759590557.386722,2025-10-04T15:09:17.386722+00:00
POWR-EUR,73.8236416946435,0.1222254,-9.114266803620687,1759590643.0331419,2025-10-04T15:10:43.033142+00:00
GOAT-EUR,120.75115004128904,0.07286103,-8.886922389588749,1759590659.6582956,2025-10-04T15:10:59.658296+00:00
GALA-EUR,636.8284527963949,0.01327095,-8.536685409735673,1759590668.9663284,2025-10-04T15:11:08.966328+00:00
AIXBT-EUR,101.24178566877903,0.08170371,-8.355383329458665,1759590678.4770904,2025-10-04T15:11:18.477090+00:00
ACT-EUR,313.11687889413315,0.02661912,-8.419086639705451,1759590688.6308458,2025-10-04T15:11:28.630846+00:00
ALPHA-EUR,665.520045361639,0.01270764,-8.542615302261998,1759590698.9503424,2025-10-04T15:11:38.950342+00:00
ARPA-EUR,445.5527847049044,0.01786455,-8.04,1759590716.0750117,2025-10-04T15:11:56.075012+00:00
CPOOL-EUR,80.3633822501747,0.1133352,-9.2,1759590725.7607517,2025-10-04T15:12:05.760752+00:00
CHZ-EUR,241.5712635227392,0.03770316,-9.2,1759590735.0362983,2025-10-04T15:12:15.036298+00:00
DOGS-EUR,87920.5630000964,0.0001026927,-9.12,1759590744.6326156,2025-10-04T15:12:24.632616+00:00
ETHFI-EUR,5.644914095299509,1.508463,-8.601155607007861,1759590762.0626247,2025-10-04T15:12:42.062625+00:00
XRP-EUR,3.5560906668096015,2.5243613999999996,-9.06753334767113,1759591159.8121743,2025-10-04T15:19:19.812174+00:00
MINA-EUR,56.71662796425305,0.14068889999999998,-8.06,1759591618.8734286,2025-10-04T15:26:58.873429+00:00
HAEDAL-EUR,88.25641946489495,0.11026620000000001,-9.83,1759592449.711137,2025-10-04T15:40:49.711137+00:00
KAIA-EUR,74.84742875901046,0.12793770000000002,-9.672533218526922,1759592457.8338366,2025-10-04T15:40:57.833837+00:00
CHILLGUY-EUR,265.22896555253385,0.03500739,-9.378761450903148,1759592481.774862,2025-10-04T15:41:21.774862+00:00
RDNT-EUR,536.636225262686,0.01575189,-8.538418980154598,1759593985.345537,2025-10-04T16:06:25.345537+00:00
CAKE-EUR,2.9715482180796724,2.853477,-8.56489342897104,1759594013.4397054,2025-10-04T16:06:53.439705+00:00
ENA-EUR,18.96012796451725,0.4914261,-9.411617920306718,1759594038.5962985,2025-10-04T16:07:18.596298+00:00
SPK-EUR,205.93787671814005,0.04359564,-9.068680339160014,1759594103.0974054,2025-10-04T16:08:23.097405+00:00
COTI-EUR,234.22244973678696,0.038611980000000004,-9.135143984634166,1759594569.9453657,2025-10-04T16:16:09.945366+00:00
ONG-EUR,70.68107529108332,0.13181849999999998,-9.411185175007743,1759595348.4169128,2025-10-04T16:29:08.416913+00:00
JASMY-EUR,896.6590764061874,0.01065735,-9.652534957512607,1759595406.9163911,2025-10-04T16:30:06.916391+00:00
MAGIC-EUR,36.829134720700985,0.14461919999999998,-5.379999999999999,1759596772.7403858,2025-10-04T16:52:52.740386+00:00
DGB-EUR,1409.2286183503663,0.006763878,-9.628131766293373,1759598002.6349907,2025-10-04T17:13:22.634991+00:00
TRX-EUR,34.48733084993381,0.28733759999999997,-10.00960290588479,1759600535.2908711,2025-10-04T17:55:35.290871+00:00
USDC-EUR,9.598625212799794,0.8406288,-8.150384640692561,1759600555.1401474,2025-10-04T17:55:55.140147+00:00
CAKE-EUR,3.32262471151394,2.8627830000000003,-9.60803387828486,1759602046.1533928,2025-10-04T18:20:46.153393+00:00
WLD-EUR,8.679059992854537,1.062171,-9.311763466333632,1759602081.0850608,2025-10-04T18:21:21.085061+00:00
RLC-EUR,10.712457857913046,0.8985438,-9.722841000999038,1759602371.4673142,2025-10-04T18:26:11.467314+00:00
